PK,Abilities Element ID,Abilities Element Name,Work Activities Element ID,Work Activities Element Name
302,1.A.3.a.4,Trunk Strength,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
303,1.A.3.b.1,Stamina,4.A.3.a.1,Performing General Physical Activities
304,1.A.3.c.1,Extent Flexibility,4.A.3.a.1,Performing General Physical Activities
305,1.A.3.c.1,Extent Flexibility,4.A.3.a.2,Handling and Moving Objects
306,1.A.3.c.1,Extent Flexibility,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment
307,1.A.3.c.1,Extent Flexibility,4.A.3.b.5,Repairing and Maintaining Electronic Equipment
308,1.A.3.c.3,Gross Body Coordination,4.A.3.a.1,Performing General Physical Activities
309,1.A.3.c.4,Gross Body Equilibrium,4.A.3.a.1,Performing General Physical Activities
310,1.A.4.a.1,Near Vision,4.A.1.a.1,Getting Information
311,1.A.4.a.1,Near Vision,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
312,1.A.4.a.1,Near Vision,4.A.1.b.1,"Identifying Objects, Actions, and Events"
313,1.A.4.a.1,Near Vision,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
314,1.A.4.a.1,Near Vision,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
315,1.A.4.a.1,Near Vision,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
316,1.A.4.a.1,Near Vision,4.A.2.a.2,Processing Information
317,1.A.4.a.1,Near Vision,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards
318,1.A.4.a.1,Near Vision,4.A.3.a.3,Controlling Machines and Processes
319,1.A.4.a.1,Near Vision,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
320,1.A.4.a.1,Near Vision,4.A.3.b.1,Working with Computers
321,1.A.4.a.1,Near Vision,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
322,1.A.4.a.1,Near Vision,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment
323,1.A.4.a.1,Near Vision,4.A.3.b.5,Repairing and Maintaining Electronic Equipment
324,1.A.4.a.1,Near Vision,4.A.3.b.6,Documenting/Recording Information
325,1.A.4.a.1,Near Vision,4.A.4.c.1,Performing Administrative Activities
326,1.A.4.a.2,Far Vision,4.A.1.a.1,Getting Information
327,1.A.4.a.2,Far Vision,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
328,1.A.4.a.2,Far Vision,4.A.1.b.1,"Identifying Objects, Actions, and Events"
329,1.A.4.a.2,Far Vision,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
330,1.A.4.a.2,Far Vision,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
331,1.A.4.a.2,Far Vision,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
332,1.A.4.a.3,Visual Color Discrimination,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
333,1.A.4.a.3,Visual Color Discrimination,4.A.1.b.1,"Identifying Objects, Actions, and Events"
334,1.A.4.a.3,Visual Color Discrimination,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
335,1.A.4.a.3,Visual Color Discrimination,4.A.3.b.5,Repairing and Maintaining Electronic Equipment
336,1.A.4.a.4,Night Vision,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
337,1.A.4.a.5,Peripheral Vision,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
338,1.A.4.a.6,Depth Perception,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
339,1.A.4.a.6,Depth Perception,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
340,1.A.4.a.6,Depth Perception,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
341,1.A.4.a.7,Glare Sensitivity,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
342,1.A.4.b.1,Hearing Sensitivity,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
343,1.A.4.b.1,Hearing Sensitivity,4.A.1.b.1,"Identifying Objects, Actions, and Events"
344,1.A.4.b.1,Hearing Sensitivity,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
345,1.A.4.b.1,Hearing Sensitivity,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
346,1.A.4.b.2,Auditory Attention,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
347,1.A.4.b.2,Auditory Attention,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
348,1.A.4.b.2,Auditory Attention,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
349,1.A.4.b.2,Auditory Attention,4.A.4.a.8,Performing for or Working Directly with the Public
350,1.A.4.b.3,Sound Localization,4.A.3.a.4,"Operating Vehicles, Mechanized Devices, or Equipment"
351,1.A.4.b.4,Speech Recognition,4.A.1.a.1,Getting Information
352,1.A.4.b.4,Speech Recognition,4.A.4.a.1,Interpreting the Meaning of Information for Others
353,1.A.4.b.4,Speech Recognition,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
354,1.A.4.b.4,Speech Recognition,4.A.4.a.3,Communicating with People Outside the Organization
355,1.A.4.b.4,Speech Recognition,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships
356,1.A.4.b.4,Speech Recognition,4.A.4.a.5,Assisting and Caring for Others
357,1.A.4.b.4,Speech Recognition,4.A.4.a.6,Selling or Influencing Others
358,1.A.4.b.4,Speech Recognition,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
359,1.A.4.b.4,Speech Recognition,4.A.4.a.8,Performing for or Working Directly with the Public
360,1.A.4.b.4,Speech Recognition,4.A.4.b.1,Coordinating the Work and Activities of Others
361,1.A.4.b.4,Speech Recognition,4.A.4.b.2,Developing and Building Teams
362,1.A.4.b.4,Speech Recognition,4.A.4.b.3,Training and Teaching Others
363,1.A.4.b.4,Speech Recognition,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
364,1.A.4.b.4,Speech Recognition,4.A.4.b.5,Coaching and Developing Others
365,1.A.4.b.4,Speech Recognition,4.A.4.b.6,Providing Consultation and Advice to Others
366,1.A.4.b.4,Speech Recognition,4.A.4.c.2,Staffing Organizational Units
367,1.A.4.b.5,Speech Clarity,4.A.4.a.1,Interpreting the Meaning of Information for Others
368,1.A.4.b.5,Speech Clarity,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
369,1.A.4.b.5,Speech Clarity,4.A.4.a.3,Communicating with People Outside the Organization
370,1.A.4.b.5,Speech Clarity,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships
371,1.A.4.b.5,Speech Clarity,4.A.4.a.5,Assisting and Caring for Others
372,1.A.4.b.5,Speech Clarity,4.A.4.a.6,Selling or Influencing Others
373,1.A.4.b.5,Speech Clarity,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
374,1.A.4.b.5,Speech Clarity,4.A.4.a.8,Performing for or Working Directly with the Public
375,1.A.4.b.5,Speech Clarity,4.A.4.b.1,Coordinating the Work and Activities of Others
376,1.A.4.b.5,Speech Clarity,4.A.4.b.2,Developing and Building Teams
377,1.A.4.b.5,Speech Clarity,4.A.4.b.3,Training and Teaching Others
378,1.A.4.b.5,Speech Clarity,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
379,1.A.4.b.5,Speech Clarity,4.A.4.b.5,Coaching and Developing Others
380,1.A.4.b.5,Speech Clarity,4.A.4.b.6,Providing Consultation and Advice to Others
381,1.A.4.b.5,Speech Clarity,4.A.4.c.2,Staffing Organizational Units
